num,enedgy,x,y
22,-1.112077,0.462503,-0.39325
842,-1.122361,0.019033,-0.238624
100,-1.094438,0.766954,-0.333937
838,-1.05458,0.675238,0.656763
892,-1.016056,-0.863203,-1.052519
317,-0.979378,1.045707,0.29272
521,-0.945989,0.691153,1.646413
20,-0.916187,0.632027,0.560672
728,-0.889988,1.088886,1.88884
547,-0.86702,0.980736,0.396231
