num,energy,dist,dist,dist
0,-75.700003,1,2.218272009,1.308785966
1,-75.632519,1,3.081224913,2.510211338
2,-75.701596,1,2.16204438,1.192040226
3,-75.728135,1,2.217311788,2.162864204
4,-75.94314,1,1.054896386,1.269345652
5,9999,1,0.108709986,0.898977119
6,-75.344786,1,4.078969456,3.470747156
7,-75.656123,1,2.760687221,2.147069615
8,-75.786404,1,1.525657038,0.827258967
9,-75.641855,1,2.996990817,2.696264074
10,-75.655043,1,2.694399929,1.822493615
11,-75.637668,1,2.795744364,1.80268981
12,-75.658882,1,2.488009265,1.488691406
13,-75.661677,1,2.44021651,1.440223808
14,-75.388225,1,4.07434643,3.456767397
15,-75.698863,1,2.377834811,1.96840402
16,-75.71997,1,0.802496638,0.605815858
17,-75.641545,1,3.009448561,2.771584861
18,-75.754529,1,2.007633804,1.81109566
19,-75.707578,1,2.203729233,1.437980018
20,-75.60889,1,3.464346253,2.709022141
21,-75.652385,1,2.873739815,2.632520185
22,-75.72256,1,1.973426135,0.980920337
23,-75.727609,1,1.551261322,0.59810341
24,-75.640953,1,3.027435092,2.881199965
25,-75.626582,1,2.987449471,2.001018327
26,-75.650438,1,2.906364118,2.743946498
27,-75.682374,1,0.80081145,0.557547289
28,-75.633887,1,2.816681694,1.817767798
29,-75.672888,1,2.678818672,2.696302927
30,-75.795464,1,1.843204591,2.077429942
31,-75.763002,1,1.710370476,0.886580603
32,-75.604518,1,3.609151165,3.060751563
33,9999,1,0.489203135,0.591759839
34,-75.655273,1,2.813634659,2.405932251
35,-75.752203,1,1.927884398,1.433995904
36,-75.655325,1,2.829113089,2.516706354
37,9999,1,1.066269556,0.30200458
38,-75.600785,1,3.685917263,3.042641955
39,-75.803102,1,0.837979887,0.724193545
40,-75.667981,1,2.488964566,1.529621067
41,9999,1,1.069617673,0.386465997
42,-75.822814,1,1.688186893,1.80670058
43,9999,1,0.839233948,0.199252654
44,-75.712254,1,2.185838399,1.497288719
45,-75.000851,1,3.28977557,2.51533801
46,-75.906218,1,1.323729717,1.579912771
47,-75.093964,1,3.496816027,2.872514634
48,-75.63369,1,3.123484136,2.933713202
49,-75.598637,1,3.747599558,3.118059404
50,-75.674756,1,2.478521102,1.612379872
51,-75.772986,1,1.199030258,0.607649209
52,-75.744665,1,2.113620658,2.120419365
53,9999,1,0.920093395,0.175857485
54,-75.715005,1,2.194045362,1.614083966
55,-75.862904,1,1.273274179,1.062699927
56,-75.661552,1,2.687955846,2.03302106
57,-75.662996,1,2.735326259,2.375989003
58,-75.719955,1,2.286956503,2.327742264
59,-75.619639,1,3.272785371,2.611160677
60,-75.723035,1,2.258837537,2.242859117
61,-75.798584,1,1.18606292,0.664256915
62,-75.651096,1,0.69554409,0.678291664
63,-75.846744,1,1.591197379,1.813817272
64,-75.660098,1,2.8112302,2.845277006
65,-75.646543,1,2.942618315,2.684829705
66,-75.70432,1,2.388255891,2.270898545
67,-75.904951,1,1.290204684,1.449326094
68,-75.770219,1,1.774634543,1.231275664
69,-75.625111,1,3.242905547,2.94939119
70,-75.136848,1,3.443893807,2.736289194
71,-75.757058,1,1.977248887,1.733171417
72,-75.686323,1,2.535514499,2.373349905
73,-75.791961,1,1.687629329,1.305869347
74,-75.757377,1,1.702486028,0.809224737
75,-75.730373,1,2.21004278,2.220057452
76,-75.02259,1,3.080481212,2.250542268
77,-75.634667,1,2.830686708,1.835531868
78,-75.609248,1,3.520055193,3.086706102
79,-75.642748,1,2.954951001,2.471928279
80,-75.639051,1,2.725122785,1.725260615
81,-75.715122,1,2.071404818,1.126745721
82,-75.103939,1,3.244337393,2.633362702
83,-75.744013,1,1.860867243,0.973790991
84,-74.89063,1,0.510257796,0.543498867
85,9999,1,0.559294638,0.496528441
86,-75.653132,1,2.755712462,1.98807474
