num,energy,
836,-0.895412,2.156901208
837,-0.938326,1.849605897
838,-1.05458,1.205888261
839,-0.781856,3.647847524
840,-1.101115,0.574342832
841,-0.965344,1.681936793
842,-1.122361,0.815116085
843,-0.809658,3.091100258
844,-0.827343,2.837147861
845,-1.013565,1.414421693
846,-1.089295,0.54830133
847,-1.057572,1.190950804
848,-1.108454,0.594907395
849,-0.858927,2.479656915
850,-0.985797,1.564364092
851,-0.856188,2.507161422
852,-0.96177,1.703237077
853,-0.923898,1.946390213
854,-0.941672,1.827944188
855,-0.844163,2.634952745
856,-0.835432,2.736017662
857,-0.83299,2.765724615
858,-0.822792,2.897760349
859,-1.081189,1.071890541
860,-0.851841,2.551978782
861,-0.893877,2.169116488
862,-0.942111,1.82512411
863,-1.009469,1.435962451
864,-1.007281,1.447540282
865,-0.902641,2.100664196
866,-1.021269,1.374358537
868,-0.987045,1.557406938
869,-0.927678,1.920470368
870,-1.089459,1.028757652
871,-0.990796,1.536630375
872,-0.823547,2.887500908
873,-0.909613,2.048352324
874,-1.061079,1.173429773
875,-0.836058,2.728501441
876,-0.852631,2.543719596
877,-1.074197,0.522353522
878,-0.979082,1.602204696
879,-0.797622,3.30017458
880,-0.930306,1.902699009
881,-1.044976,1.253932008
882,-0.794305,3.365003898
883,-1.039556,1.281171352
884,-1.118767,0.848107724
885,-1.058842,1.184603607
886,-0.894307,2.16568461
887,-1.058711,1.185258203
888,-1.088017,1.036377172
889,-0.977061,1.613732263
890,-0.972191,1.641784202
891,-0.857736,2.491546266
892,-1.016056,1.401404262
893,-0.894245,2.166175982
894,-0.92075,1.968297084
895,-0.791745,3.417675611
896,-0.805239,3.163662789
897,-0.838566,2.698837753
898,-0.854373,2.525698762
899,-1.049097,1.233292737
900,-1.108242,0.922195835
901,-1.095363,0.996965488
902,-1.120273,0.835174313
903,-1.052582,1.215869492
904,-0.806656,3.13990957
905,-0.805871,3.153016032
906,-0.933234,1.883118623
907,-1.080449,1.075692602
908,-0.945376,1.804285561
909,-0.812934,3.039967926
910,-0.966951,1.672435561
911,-0.980241,1.595621628
912,-1.02645,1.347713802
913,-0.859567,2.473307329
914,-0.96696,1.672384054
915,-0.814783,3.012032879
916,-1.007211,1.447909978
917,-0.928055,1.917912228
918,-0.983032,1.579858346
919,-0.940343,1.836514201
920,-0.835417,2.736196022
921,-0.908259,2.05837499
922,-0.947718,1.789491478
924,-0.802109,3.2178567
925,-1.012067,1.422277672
926,-1.108432,0.921011083
927,-0.880535,2.279843462
928,-0.996305,1.506475906
929,-0.981133,1.590571345
930,-1.067719,1.140189126
931,-0.832353,2.773591383
932,-0.91502,2.00897283
933,-0.877847,2.303210542
934,-0.941343,1.830063932
935,-0.911071,2.037635885
936,-1.045118,1.253217766
937,-0.978158,1.607465676
938,-0.989072,1.546157199
939,-0.910784,2.03974079
940,-0.823147,2.892928821
941,-0.872772,2.348416119
942,-1.107598,0.926208253
943,-0.847744,2.595618735
944,-1.113845,0.885279729
945,-0.80852,3.109366643
946,-0.987934,1.552466473
947,-0.801901,3.221560034
948,-1.086779,1.042883017
949,-0.905447,2.079392099
951,-0.871141,2.363246403
952,-1.089611,1.027951401
953,-1.114847,0.878176953
954,-0.935691,1.866866158
955,-0.842557,2.652972868
956,-0.88216,2.265900121
957,-1.053451,1.211527576
958,-0.990849,1.536338623
959,-0.806828,3.137067028
960,-0.775471,3.826681839
961,-1.083154,1.061757243
962,-0.953894,1.751068732
963,-0.972303,1.641135208
964,-0.924173,1.94448845
966,-0.929212,1.910071726
967,-0.935719,1.866679093
968,-0.836114,2.727837884
969,-1.120149,0.836274668
970,-0.817507,2.971976003
971,-0.798964,3.274946842
972,-1.086963,1.041920673
973,-1.095408,0.996714761
974,-0.902189,2.104121813
975,-0.854564,2.523736828
976,-0.817324,2.97463114
977,-0.883282,2.256340841
978,-0.822826,2.897290273
979,-0.900051,2.12057324
980,-0.84723,2.601189112
981,-0.844517,2.631006883
982,-0.937751,1.853355993
983,-1.120666,0.831615177
984,-0.94993,1.775632756
985,-1.028986,1.334747802
986,-0.991393,1.533345001
987,-0.825933,2.855628089
988,-0.81673,2.983274443
989,-1.025927,1.350391591
990,-0.882188,2.265661454
991,-0.867616,2.395861004
992,-0.978272,1.606816837
993,-1.008978,1.438557002
994,-1.019798,1.381967571
995,-0.814386,3.017969008
996,-0.926959,1.925369222
997,-1.012167,1.421751943
998,-0.827596,2.833865283
999,-0.866741,2.404073336
